Batman vs Superman	batman banaam superman	batman vs superman
Does it mention how accurate the movie is as opposed to real-life events; that's why I was asking if it was biographical as opposed to simply historical?	kyaa isamen ullekh haye kii vaastavik jeevan kii ghatnaaon key vipareet film kitni sateek haye; isiliye main poochh rhaa thaa kii kyaa yeh kewal aitihaasik key vipareet jeevani parr adharit thaa?	kya yah ullekh karata hai philm vaastavik jeevan kee ghatanaon ke vipareet kitanee sahee hai; isalie main poochh raha tha yadi yah keval aitihaasik ke vipareet jeevanee thee?
Oh.  One of the critics says it rearranges the time sequences and invents fictional characters.	oh.  alochakon mein seey ack kaa kahana haye kii yeh samay anukramon koo punarvyavasthit kartaa haye aur kaalpanik paatron kaa aavishkaar kartaa haye.	oh. ek aalochak kahata hai yah samay drshyon ko punarvyavasthit karata hai aur kaalpanik paatron ko laagoo karata hai.
Thanks for the clarification , are there any more excerpts?	spashteekaran key liye dhanyavaad, kyaa koee aur ansh hain?	spashteekaran ke lie dhanyavaad, kya koee aur ansh hain?
Yes, the plot sounds really good.  Turing manages to decrypt the Nazi code machine, but the Nazis change the code every day.  So they all realize they can't act on every day's decrypted messages or the Nazis will know that their code machine is useless.	haan, kathaanak vaastav mein achchha lagata haye.  turing naazi code machine koo decrypt karane mein safal hoe jaataa haye, lekin naazi harr dinn code badalate hain.  isaliye una sabhi koo ehsas huaa kii way harr dinn key decrypted sandeshon parr kaarravaai naheen curr sakate hain yaa naajiyon koo pataa chala jaayega kii unaki code machine bekaar haye.	haan, kathaanak vaastav mein achchha lagata hai. tyooring naajee kod masheen ko dikript karane ka prabandhan karata hai, lekin naajiyon ne har din kod badal diya. isalie ve sabhee mahasoos karate hain ki ve har din dikript kie gae sandeshon par kaam nahin kar sakate hain ya naajiyon ko pata chal jaega ki unakee kod masheen bekaar hai.
Interesting, does it mention how it's resolved, or does it leave you sort of on the cliff?	dilchasp haye, kyaa isamen bataaya gayaa haye kii iska samadhan kaise kiya gayaa, yaa kyaa yeh aapako mushkil mein daal detaa haye?	dilachasp hai, yah ullekh karata hai ki yah kaise hal ho gaya hai, ya kya yah aapako chattaan par chhodata hai?
It kind of leaves a cliffhanger there.  There are a couple of twists, though.	yeh vahaan ack prakaar kii ulajhan chhod detaa haye.  haalaanki, isamen kuchh modd hain.	yah vahaan ek kliphanar ko chhod deta hai. haalaanki kuchh jode hain.
Does it say whether the main characters survive to the end, or are they wounded, etcetera?	kyaa yeh bataata haye kii kyaa mukhya paatr anta taka jeevit bache hain, yaa way ghayal hain, vagairah-vagairah?	kya yah kahata hai ki kya mukhy paatr ant tak jeevit rahate hain, ya ve ghaayal hote hain, vagairah?
It doesn't tell.  One of the twists in the plot is that a Russian spy is discovered by Turing.  Which isn't surprising at first, but then we find out that British intelligence planted him to tell the Russians secrets they wanted them to know, after all Russia and Great Britain were on the same side in WWII.	yeh naheen bataata.  kathaanak mein ack modd yeh haye kii turing dwara ack russie jasus kii khoj kii jaati haye.  joe pahale tou ashcharya kii baat naheen haye, lekin phir hamein pataa chalaa kii british khufiya ney usey rusiyon koo rahasya bataane key liye niyukt kiya thaa joe way unhein jaanana chaahte they, aakhirkaar dwiteeya vishva yuddh mein roose aur grate britten ack hii paksh mein they.	yah nahin bataata. saajish mein ek tvist yah hai ki tyooring dvaara ek roosee jaasoos kee khoj kee jaatee hai. yah pahalee baar mein aashcharyachakit karane vaala nahin hai, lekin phir hamen pata chala ki british khuphiya ne unhen roos ke rahasyon ko bataane ke lie lagaaya tha, jo ve jaanana chaahate the, aakhirakaar roos aur gret briten wwii mein ek hee taraph the.
That's sort of a twisted narrative of the political situation, but whatever, anything else super useful or interesting, (it sounds like a great movie)?	yeh ack tarah seey raajneetik sthiti kii ack vikrit kahani haye, lekin joe bhee hoe, kyaa isake alawa koee behad upayogi yaa dilchasp cheez haye, (yeh ack mahaan film kii tarah lagati haye)?	yah raajaneetik sthiti ke ek mod kee tarah hai, lekin jo kuchh bhee, supar upayogee ya dilachasp hai, (yah ek mahaan philm kee tarah lagata hai)?
When I watched the movie, I liked the codebreaking machine they had,  It was this massive technical looking wall that was way before the time of WWII.  Yes, there's another twist in the plot where the Russian spy threatens to tell everyone that Turing is homosexual.	jaba maine film dekhi, tou mujhe unake paas maujood codebreaking machine pasand aaee, yeh ack vishal takniki dikhane vaali deewaar thee joe dwiteeya vishva yuddh key samay seey bahut pahale kii thee.  haan, kahani mein ack aur modd haye jahaan russie jasus sabhi koo yeh bataane kii dhamki detaa haye kii turing samalaingik haye.	jab mainne philm dekhee, to mujhe unake paas kodabreking masheen pasand aaee, yah is vishaal takaneekee dikhane vaalee deevaar thee jo wwii ke samay se pahale thee. haan, saajish mein ek aur mod hai jahaan roosee jaasoos ne sabhee ko yah bataane kee dhamakee dee ki tyooring samalaingik hai.
How did the spy know that Turing was gay?	jasus koo kaise pataa chalaa kii turing samalaingik haye?	jaasoos ko kaise pata chala ki tyooring samalaingik tha?
Turing told the spy, because Turing was about to get married to Clarke (Knightley).  It sounds like high drama to me.  The spy (before Turing realized he was a spy) told Turing to keep his homosexuality a secret.  I guess they were pretty tight.	turing ney jasus koo bataaya, kyonki turing kii shaadi clark (nightly) seey honey vaali thee.  yeh mujhe haaee drama jaisa lagata haye.  jasus ney (turing koo ehsas honey seey pahale kii vaha ack jasus thaa) turing koo apani samalaingikta koo gupt rakhane key liye kahaa.  mujhe lagata haye kii way kaafee tanga they.	tyooring ne jaasoos ko bataaya, kyonki tyooring kee shaadee klaark (naitalee) se hone vaalee thee. yah mujhe uchch naatak kee tarah lagata hai. jaasoos (tyooring se pahale ehasaas hua ki vah ek jaasoos tha) ne tyooring ko apanee samalaingikata ko gupt rakhane ke lie kaha tha. mujhe lagata hai ki ve bahut tang the.
Wow, that's a big ol' ball of secrecy for that time period, is there anything else about the plot or whatever you should tell me?	vaah, yeh usa samay avadhi key liye gopaniyata kaa ack badaa rahasya haye, kyaa kathaanak key baare mein kuchh aur haye yaa joe kuchh bhee aapako mujhe bataana chaahiye?	vaah, yah us samay kee avadhi ke lie ek badee raajabhaasha gopaneeyata kee gend hai, kya saajish ke baare mein kuchh aur hai ya jo kuchh bhee aapako mujhe bataana chaahie?
Yes, at the end of the movie, the Allies win the war and the boss makes the cryptographers promise to never see each other again and they destroy all the code.  Also, Turing tells Clarke (Knightley) to leave because he is scared for her safety.  He tells her he is gay and that he never cared for her, which wasn't true because he was in love with her.	haan, film key anta mein, mitra rashtra yuddh jeet jaate hain aur boss cryptographers seey ack-dusare koo phir kabhi naa dekhane kaa vaadaa karaate hain aur way sabhi code nasht curr dete hain.  saath hii, turing clark (nightly) koo chaley jaane key liye kahata haye kyonki vaha usaki suraksha koo laker daraa huaa haye.  vaha usey bataata haye kii vaha samalaingik haye aur usane kabhi usaki parwah naheen kii, joe sach naheen thaa kyonki vaha usase pyaar kartaa thaa.	haan, philm ke ant mein, mitr raashtr yuddh jeetata hai aur bos kriptograaphars ko ek doosare ko phir kabhee nahin dekhane ka vaada karata hai aur ve sabhee kod ko nasht kar dete hain. isake alaava, tyooring klaark (naitalee) ko chhodane ke lie kahata hai kyonki vah usakee suraksha ke lie darata hai. vah usase kahata hai ki vah samalaingik hai aur usane kabhee usakee paravaah nahin kee, jo sach nahin tha kyonki vah usake saath pyaar mein thee.
It got a pretty good score on Rotten Tomatoes.	rotten tomatose parr ise kaafee achchha score milaa.	roten tomaatoz par ise bahut achchha skor mila.
What's the rotten tomatoes score?	sadey hue tamatar kaa score kyaa haye?	sada hua tamaatar skor kya hai?
Rotten Tomatoes is 91%, CinemaScore is A+, and Metacritic Score is a bit low at 73/100.	rotten tomatose 91% haye, cinemascore aii+ haye, aur metacritic score thodaa cumm 73/100 haye.	roten tomaatoz 91% hai, sinemaaskor e + hai, aur metaakritik skor 73/100 par thoda kam hai.
Hmm, not bad at all, does it say when it was released?	humm, bilkul bhee buraa naheen haye, kyaa yeh bataata haye kii ise kaba release kiya gayaa thaa?	hamm, bilkul bhee bura nahin hai, yah kahata hai ki yah kab jaaree kiya gaya tha?
I think that about does it for this movie, do you think you'll see it?	mujhe lagata haye kii yeh iss film key liye haye, kyaa aapako lagata haye kii aap ise dekhenge?	mujhe lagata hai ki is philm ke baare mein kya aapako lagata hai ki aap ise dekhenge?
in 2014	2014 mein	2014 mein
It sounds really good, more likely than not, I will; how about you?	yeh vaastav mein achchha lagata haye, adhik sambhavana haye kii main aisaa karunga; aap kaise hain?	yah vaastav mein achchha lagata hai, adhik sambhaavana nahin hai, main karoonga; aap kaise hain?
I didn't realize I had already seen it until I started reading this.  I remember it was really good.  If a movie isn't good I usually don't recall it this clearly.	jaba taka maine ise padhana shuru naheen kiya, mujhe ehsas hii naheen huaa kii maine ise pahale hii dekh liya haye.  mujhe yaad haye yeh sachmuch bahut achchha thaa.  yadi koee film achchi naheen haye tou aamtaur parr main ise spasht roop seey yaad naheen rakh paataa.	I didn't realize I had already seen it until I started reading this. I remember it was really good. If a movie isn't good I usually don't recall it this clearly.
It was definitely a good look into what life was like during that horrible war.  It's been good chatting with you, I enjoyed.	yeh nishchit roop seey usa bhayaanak yuddh key dauran jeevan kaisa thaa, iska ack achchha avalokan thaa.  aapke saath baatchit karke achchha lagaa, anand aayaa.	us bhayaanak yuddh ke dauraan jeevan kaisa tha, yah nishchit roop se achchha tha. yah aapake saath achchhee chaiting hai, mujhe maza aaya.
Lol, likewise, I'm pretty sure we just do the exit survey at this point and tell them whether we want to see the movie, right?	loll, isi tarah, mujhe puuraa yakeen haye kii humm iss bindu parr sirf exit sarvekshan karenge aur unhein bataayenge kii kyaa humm film dekhana chaahte hain, haye naa?	yogy, isee tarah, mujhe poora yakeen hai ki ham sirph is bindu par baahar nikalane ka sarvekshan karenge aur unhen bataenge ki kya ham philm dekhana chaahate hain, hai na?
Hi are you ready to get started? This is a batman vs superman superhero crossover movie. Are you familiar with those superheroes?	namaste kyaa aap aarambh karane key liye taiyar hain? yeh ack batman banaam superman superheiro crossover film haye. kyaa aap una superheiro seey parichit hain?	Hi kya tum shuru krne ke liye tyaar ho? Yeh batman vs superman ek superhero crossover movie hai. Kya tum inn superheroes ko jante ho?
We are here to discuss Batman vs. Superman: Dawn of Justice	humm yahaan batman banaam superman: donn off justice parr charcha karane key liye aae hain	Hum yahan Batman vs. Superman: Dawn of Justice ko discuss karenge
Yes i am familar with the characters but some of the actors i have never heard of	haan, main paatron seey parichit huun, lekin kuchh abhinetaon key baare mein maine kabhi naheen sunaa haye	Han mujhe inn cahracters ke baare mein pta hai but kuch actors ke baare mein maine kabhi sunna nhi
I think it sounds like an amazing movie. I love superheroes. I think some of the critics are too harsh. It was a good plot line. I am familiar with Ben Affleck but none of the others.	mujhe lagata haye kii yeh ack adbhut film lagati haye. mujhe superheiro bahut pasand hain. mujhe lagata haye kii kuchh aalochak bahut kathor hain. yeh ack achchi kathaanak thee. main bayne affleck seey parichit huun lekin anya kissy seey naheen.	Mujhe lagta hai ki yeh ek bahut achhi movie hai. Mujhe superheroes bahut pasand hai. Yeh achhi plot line thi. Main Ban Affleck ke baare mein jaanta huin but bake kisi ke baare mein nhi.
I wish they would have used more famous people.	kaash unhone adhik prasiddh logon kaa upayog kiya hotaa.	Kaash unhone zyada famous logo ko liya hota.
I would agree though that it was not as good as man of steel. The plot line of that was amazing!	haalaanki main iss baat seey sahmat huun kii yeh steel maine jitna achchha naheen thaa. uska kathaanak adbhut thaa!	Main sehmat huin jabki woh man of steel jitni achhi nhi hai. Uski plot line bahut badiya thi!
Ben Affleck is the only actor I recognize great plot very harsh critcs	bayne affleck ekmatra aise abhineta hain jinhen main mahaan kathaanak aur kathor alochakon key roop mein pahachaantaa huun	Ben Affleck hi sirf ek aisa actor hai jise main pehnchanta huin achha plot bhut harsh critics
I agree. I didn't completely understand why Batman and Superman fought though.	main sahmat huun. haalaanki mujhe poori tarah samajh naheen aayaa kii batman aur superman kyon ladey.	I agree, mujhe theek se samajh nahi aaya ki Batman and Superman kyun lad rahe the
Rotten Tomatoes list it as 27%and average with a 4.9 out of 10. The critcs must be weird. Yeah i couldnt figure out the fight but think it was because superman accidentally killed bruce waynes dad	rotten tomatose ney ise 27% aur 10 mein seey 4.9 key saath ausat key roop mein soochibaddh kiya haye. aalochak ajib honge. haan, main ladaai kaa pataa naheen lagaa sakaa lekin mujhe lagata haye kii aisaa isaliye huaa kyonki superman ney galati seey broose weins key pitaa koo maar daala thaa	Rotten Tomatoes par 27% hai and average 4.9 hai 10 mein se. Critics bahut ajeeb hain. Mujhe fight samajh nahi aayi par mujhe lagta hai ki Superman ne galti se Bruce Wayne ke Dad ko maar diya tha.
